sitemap,url,httpStatus,finalStatus,finalUrl,canonical,robots,title,h1,wordCount,contentLength,classification,redirectChain
sitemap-static.xml,https://tinystepslearning.com/,200,200,https://tinystepslearning.com/,https://tinystepslearning.com/,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","Online Phonics, Grammar &amp; Public Speaking Classes for Kids | Tiny Steps Learning","Gentle, high-impact English foundations",582,45169,200 indexable canonical page,200:https://tinystepslearning.com/
sitemap-static.xml,https://tinystepslearning.com/blog,200,200,https://tinystepslearning.com/blog,https://tinystepslearning.com/blog,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Blog | Tiny Steps Learning,"Find the right phonics, grammar, and speaking help in minutes",2076,105938,200 indexable canonical page,200:https://tinystepslearning.com/blog
sitemap-static.xml,https://tinystepslearning.com/pricing,200,200,https://tinystepslearning.com/pricing,https://tinystepslearning.com/pricing,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Pricing &amp; Plans | Tiny Steps Learning,Pricing that mirrors your child’s curriculum,827,40638,200 indexable canonical page,200:https://tinystepslearning.com/pricing
sitemap-static.xml,https://tinystepslearning.com/sitemap,200,200,https://tinystepslearning.com/sitemap,https://tinystepslearning.com/sitemap,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Sitemap | Tiny Steps Learning,"Tiny Steps public pages, programs, and crawl feeds",332,31421,200 indexable canonical page,200:https://tinystepslearning.com/sitemap
sitemap-static.xml,https://tinystepslearning.com/contact,200,200,https://tinystepslearning.com/contact,https://tinystepslearning.com/contact,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Contact Us | Tiny Steps Learning,,68,15040,suspected soft-404 / thin page,200:https://tinystepslearning.com/contact
sitemap-static.xml,https://tinystepslearning.com/why-tiny-steps,200,200,https://tinystepslearning.com/why-tiny-steps,https://tinystepslearning.com/why-tiny-steps,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Why Choose Tiny Steps Learning | Online English Classes for Kids,"Premium English learning built on phonics, grammar, and confidence",1143,66752,200 indexable canonical page,200:https://tinystepslearning.com/why-tiny-steps
sitemap-static.xml,https://tinystepslearning.com/learning-partner,200,200,https://tinystepslearning.com/learning-partner,https://tinystepslearning.com/learning-partner,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Learning Partner Support | Tiny Steps Learning,A single point of support for every family,288,19964,200 indexable canonical page,200:https://tinystepslearning.com/learning-partner
sitemap-static.xml,https://tinystepslearning.com/team,200,200,https://tinystepslearning.com/team,https://tinystepslearning.com/team,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Meet the Team | Tiny Steps Learning,Meet the Team,664,43609,200 indexable canonical page,200:https://tinystepslearning.com/team
sitemap-static.xml,https://tinystepslearning.com/class-samples,200,200,https://tinystepslearning.com/class-samples,https://tinystepslearning.com/class-samples,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Real Class Sample Videos for Parents | Tiny Steps Learning,,68,14433,suspected soft-404 / thin page,200:https://tinystepslearning.com/class-samples
sitemap-static.xml,https://tinystepslearning.com/careers,200,200,https://tinystepslearning.com/careers,https://tinystepslearning.com/careers,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Careers | Join the Tiny Steps Team,Join the Tiny Steps Team,721,37949,200 indexable canonical page,200:https://tinystepslearning.com/careers
sitemap-static.xml,https://tinystepslearning.com/courses,200,200,https://tinystepslearning.com/courses,https://tinystepslearning.com/courses,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","Online English Courses for Kids | Phonics, Grammar &amp; Speaking | Tiny Steps Learning",A Complete English Learning Journey for Your Child,630,47988,200 indexable canonical page,200:https://tinystepslearning.com/courses
sitemap-static.xml,https://tinystepslearning.com/curriculum,200,200,https://tinystepslearning.com/curriculum,https://tinystepslearning.com/curriculum,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",IB-Aligned English Curriculum | Tiny Steps Learning,Tiny Steps Curriculum (Ages 3–12),3181,89822,200 indexable canonical page,200:https://tinystepslearning.com/curriculum
sitemap-static.xml,https://tinystepslearning.com/privacy-policy,200,200,https://tinystepslearning.com/privacy-policy,https://tinystepslearning.com/privacy-policy,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Privacy Policy | Tiny Steps Learning,Privacy Policy,803,27293,200 indexable canonical page,200:https://tinystepslearning.com/privacy-policy
sitemap-static.xml,https://tinystepslearning.com/faq,200,200,https://tinystepslearning.com/faq,https://tinystepslearning.com/faq,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Frequently Asked Questions | Tiny Steps Learning,"Parent questions, clear answers, and the right next article",876,77570,200 indexable canonical page,200:https://tinystepslearning.com/faq
sitemap-static.xml,https://tinystepslearning.com/best-online-phonics-classes-india,200,200,https://tinystepslearning.com/best-online-phonics-classes-india,https://tinystepslearning.com/best-online-phonics-classes-india,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Best Online Phonics Classes in India | Tiny Steps Learning,Best Online Phonics Classes in India,1508,56818,200 indexable canonical page,200:https://tinystepslearning.com/best-online-phonics-classes-india
sitemap-static.xml,https://tinystepslearning.com/online-phonics-reading-classes,301,200,https://tinystepslearning.com/phonics,https://tinystepslearning.com/phonics,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Online Phonics Classes for Kids | Tiny Steps Learning,Phonics Classes for Kids,1491,59922,301/302 redirect,301:https://tinystepslearning.com/online-phonics-reading-classes -> https://tinystepslearning.com/phonics | 200:https://tinystepslearning.com/phonics
sitemap-static.xml,https://tinystepslearning.com/phonics-apps-for-preschoolers-india,200,200,https://tinystepslearning.com/phonics-apps-for-preschoolers-india,https://tinystepslearning.com/phonics-apps-for-preschoolers-india,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Phonics Apps for Preschoolers in India | Tiny Steps Learning,Phonics Apps for Preschoolers in India,1018,34560,200 indexable canonical page,200:https://tinystepslearning.com/phonics-apps-for-preschoolers-india
sitemap-static.xml,https://tinystepslearning.com/phonics-games-for-preschoolers,200,200,https://tinystepslearning.com/phonics-games-for-preschoolers,https://tinystepslearning.com/phonics-games-for-preschoolers,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Phonics Games for Preschoolers | Tiny Steps Learning,Phonics Games for Preschoolers,829,32382,200 indexable canonical page,200:https://tinystepslearning.com/phonics-games-for-preschoolers
sitemap-static.xml,https://tinystepslearning.com/phonics-learning-games,200,200,https://tinystepslearning.com/phonics-learning-games,https://tinystepslearning.com/phonics-learning-games,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Phonics Practice Games for Kids | Tiny Steps Learning,Playful learning games that help children practice phonics with confidence.,909,41189,200 indexable canonical page,200:https://tinystepslearning.com/phonics-learning-games
